openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 449, r = 0.940053, dH = 0.0618187, is_accept = 1
n = 450, r = 0.581674, dH = 0.541846, is_accept = 1
n = 451, r = 0.728893, dH = 0.316229, is_accept = 1
n = 452, r = 1, dH = -2.37507, is_accept = 1
n = 453, r = 0.494979, dH = 0.70324, is_accept = 0
n = 454, r = 0.141223, dH = 1.95741, is_accept = 1
n = 455, r = 1, dH = -0.168555, is_accept = 1
n = 456, r = 0.546083, dH = 0.604985, is_accept = 1
n = 457, r = 1, dH = -0.20884, is_accept = 1
n = 458, r = 0.0179678, dH = 4.01917, is_accept = 0
n = 459, r = 1, dH = -0.458424, is_accept = 1
n = 460, r = 0.100212, dH = 2.30047, is_accept = 0
n = 461, r = 0.773726, dH = 0.256537, is_accept = 1
n = 462, r = 1, dH = -0.0431696, is_accept = 1
n = 463, r = 1, dH = -0.172211, is_accept = 1
n = 464, r = 0.76274, dH = 0.270838, is_accept = 1
n = 465, r = 0.69064, dH = 0.370136, is_accept = 1
n = 466, r = 1, dH = -0.229391, is_accept = 1
n = 467, r = 0.978485, dH = 0.0217494, is_accept = 1
