openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 399, r = 1, dH = -0.133132, is_accept = 1
n = 400, r = 0.938242, dH = 0.0637478, is_accept = 1
n = 401, r = 0.803384, dH = 0.218923, is_accept = 0
n = 402, r = 1, dH = -0.0684383, is_accept = 1
n = 403, r = 1, dH = -0.218514, is_accept = 1
n = 404, r = 1, dH = -0.135305, is_accept = 1
n = 405, r = 1, dH = -0.0277652, is_accept = 1
n = 406, r = 1, dH = -0.261909, is_accept = 1
n = 407, r = 1, dH = -0.17936, is_accept = 1
n = 408, r = 1, dH = -0.0830714, is_accept = 1
n = 409, r = 0.985836, dH = 0.0142648, is_accept = 1
n = 410, r = 0.000676981, dH = 7.29787, is_accept = 0
n = 411, r = 0.785268, dH = 0.24173, is_accept = 1
n = 412, r = 1, dH = -0.0419137, is_accept = 1
n = 413, r = 0.00957201, dH = 4.64891, is_accept = 0
n = 414, r = 1, dH = -0.250024, is_accept = 1
n = 415, r = 1, dH = -0.0958938, is_accept = 1
n = 416, r = 0.859639, dH = 0.151243, is_accept = 1
n = 417, r = 0.652995, dH = 0.426186, is_accept = 0
n = 418, r = 0.905625, dH = 0.0991295, is_accept = 1
n = 419, r = 1, dH = -0.104706, is_accept = 1
n = 420, r = 0.973866, dH = 0.026482, is_accept = 1
n = 421, r = 0.717355, dH = 0.332184, is_accept = 0
n = 422, r = 0.401117, dH = 0.913503, is_accept = 1
n = 423, r = 0.983508, dH = 0.0166291, is_accept = 1
n = 424, r = 0.813447, dH = 0.206475, is_accept = 0
n = 425, r = 1, dH = -0.0591556, is_accept = 1
n = 426, r = 0.638593, dH = 0.448488, is_accept = 0
n = 427, r = 0.103219, dH = 2.2709, is_accept = 0
n = 428, r = 1, dH = -0.0453063, is_accept = 1
n = 429, r = 0.749624, dH = 0.288184, is_accept = 1
n = 430, r = 1, dH = -0.427242, is_accept = 1
n = 431, r = 0.876695, dH = 0.131596, is_accept = 1
n = 432, r = 1, dH = -0.325304, is_accept = 1
n = 433, r = 0.646706, dH = 0.435863, is_accept = 1
n = 434, r = 1, dH = -0.00142967, is_accept = 1
n = 435, r = 1, dH = -0.0851374, is_accept = 1
n = 436, r = 1, dH = -0.240804, is_accept = 1
n = 437, r = 0.804105, dH = 0.218026, is_accept = 1
n = 438, r = 0.879423, dH = 0.128489, is_accept = 1
n = 439, r = 0.919465, dH = 0.083963, is_accept = 1
n = 440, r = 1, dH = -0.372181, is_accept = 1
n = 441, r = 0.242271, dH = 1.4177, is_accept = 1
n = 442, r = 0.855032, dH = 0.156617, is_accept = 0
n = 443, r = 1, dH = -0.11684, is_accept = 1
n = 444, r = 0.972121, dH = 0.0282753, is_accept = 1
n = 445, r = 0.767434, dH = 0.264703, is_accept = 1
n = 446, r = 1, dH = -0.0508533, is_accept = 1
n = 447, r = 0.748419, dH = 0.289792, is_accept = 1
n = 448, r = 0.892127, dH = 0.114147, is_accept = 1
n = 449, r = 0.597471, dH = 0.51505, is_accept = 0
n = 450, r = 0.885613, dH = 0.121476, is_accept = 1
n = 451, r = 0.799401, dH = 0.223892, is_accept = 1
n = 452, r = 0.0214805, dH = 3.84061, is_accept = 0
n = 453, r = 0.624592, dH = 0.470657, is_accept = 1
n = 454, r = 0.843363, dH = 0.170357, is_accept = 1
n = 455, r = 0.0303525, dH = 3.49488, is_accept = 0
n = 456, r = 1, dH = -0.410417, is_accept = 1
n = 457, r = 1, dH = -0.0877072, is_accept = 1
n = 458, r = 1, dH = -0.333807, is_accept = 1
n = 459, r = 0.0413366, dH = 3.18601, is_accept = 0
n = 460, r = 1, dH = -0.0168851, is_accept = 1
n = 461, r = 1, dH = -0.248254, is_accept = 1
n = 462, r = 0.873326, dH = 0.135446, is_accept = 0
n = 463, r = 1, dH = -0.258796, is_accept = 1
n = 464, r = 0.763638, dH = 0.269661, is_accept = 1
n = 465, r = 0.00144927, dH = 6.5367, is_accept = 0
n = 466, r = 1, dH = -0.0805238, is_accept = 1
n = 467, r = 0.947492, dH = 0.0539364, is_accept = 1
n = 468, r = 1, dH = -0.000105141, is_accept = 1
